route,type,name,indexability,status
"/robotics-tools","category","Robotics","index","routable"
"/scanner-tools","category","Scanner","index","routable"
"/settings","page","Settings","noindex","routable"
"/student-hub","page","Student Hub","index","routable"
"/student-tools","category","Student","index","routable"
"/terms","page","Terms","index","routable"
"/text-tools","category","Text Tools","index","routable"
"/tool-health","page","Tool Health","noindex","routable"
"/tools","page","All Tools","index","routable"
"/tools/age-calculator","tool","Age Calculator","index","routable"
"/tools/age-calculator-plus","tool","Age Calculator Pro","index","routable"
"/tools/ai-writing-assistant","tool","AI Writing Assistant","noindex","routable"
"/tools/alternating-case","tool","Alternating Case","index","routable"
"/tools/application-generator","tool","Simple Application Generator","index","routable"
"/tools/assignment-cover-page-generator","tool","Assignment Cover Page Generator","index","routable"
"/tools/attendance-calculator","tool","Attendance Calculator","index","routable"
"/tools/average-calculator","tool","Average Calculator","index","routable"
"/tools/base64-decoder","tool","Base64 Decoder","index","routable"
"/tools/base64-encoder","tool","Base64 Encoder","index","routable"
"/tools/battery-runtime-calculator","tool","Battery Runtime Estimator","index","routable"
"/tools/bill-splitter","tool","Bill Splitter","index","routable"
"/tools/binary-converter","tool","Binary Converter","index","routable"
"/tools/bmi-calculator","tool","BMI Calculator","index","routable"
"/tools/bmr-calculator","tool","BMR Calculator","index","routable"
"/tools/body-surface-area-calculator","tool","Body Surface Area","index","routable"
"/tools/break-even-calculator","tool","Break-even Calculator","index","routable"
"/tools/budget-planner","tool","Budget Planner","index","routable"
"/tools/business-days-calculator","tool","Business Days Calculator","index","routable"
"/tools/cagr-calculator","tool","CAGR Calculator","index","routable"
"/tools/calorie-calculator","tool","Calorie Calculator","index","routable"
"/tools/calorie-deficit-calculator","tool","Calorie Deficit Calculator","index","routable"
"/tools/calorie-surplus-calculator","tool","Calorie Surplus Calculator","index","routable"
"/tools/carbohydrate-calculator","tool","Carbohydrate Calculator","index","routable"
"/tools/case-converter","tool","Case Converter","index","routable"
"/tools/cgpa-calculator","tool","CGPA Calculator for Pakistani Universities","index","routable"
"/tools/character-counter","tool","Character Counter","index","routable"
"/tools/cm-to-feet","tool","CM to Feet & Inches","index","routable"
"/tools/color-converter","tool","Color Converter (HEX ↔ RGB)","index","routable"
"/tools/commission-calculator","tool","Commission Calculator","index","routable"
"/tools/compound-interest-calculator","tool","Compound Interest Calculator","index","routable"
"/tools/concrete-volume-calculator","tool","Concrete Volume Calculator","index","routable"
"/tools/countdown-timer","tool","Countdown Timer","index","routable"
"/tools/cover-letter-generator","tool","Cover Letter Generator","index","routable"
"/tools/credit-hour-calculator","tool","Credit Hour Calculator","index","routable"
"/tools/css-formatter","tool","CSS Formatter","index","routable"
"/tools/custom-gpa-calculator","tool","Custom University GPA Calculator","index","routable"
"/tools/daily-study-planner","tool","Daily Study Planner","index","routable"
"/tools/date-difference-calculator","tool","Date Difference Calculator","index","routable"
"/tools/date-minus-days","tool","Date - Days","index","routable"
"/tools/date-plus-days","tool","Date + Days","index","routable"
"/tools/days-between-dates","tool","Days Between Dates","index","routable"
"/tools/decimal-converter","tool","Decimal Converter","index","routable"
"/tools/dictionary","tool","MZ Dictionary","index","routable"
"/tools/dilution-calculator","tool","Dilution Calculator","index","routable"
"/tools/discount-calculator","tool","Discount Calculator","index","routable"
"/tools/dna-complement-tool","tool","DNA Complement Tool","index","routable"
"/tools/dna-to-rna-tool","tool","DNA to RNA Tool","index","routable"
"/tools/document-statistics","tool","Document Statistics","index","routable"
"/tools/docx-text-extractor","tool","DOCX Text Extractor","index","routable"
"/tools/docx-viewer","tool","DOCX Viewer","index","routable"
"/tools/electrical-power-calculator","tool","Electrical Power Calculator","index","routable"
"/tools/email-generator","tool","Professional Email Generator","index","routable"
"/tools/emi-calculator","tool","EMI Calculator","index","routable"
"/tools/extract-emails","tool","Extract Emails","index","routable"
"/tools/extract-numbers","tool","Extract Numbers","index","routable"
"/tools/extract-urls","tool","Extract URLs","index","routable"
"/tools/fat-intake-calculator","tool","Fat Intake Calculator","index","routable"
"/tools/favicon-generator","tool","Favicon Generator","index","routable"
"/tools/find-replace","tool","Find & Replace","index","routable"
"/tools/flashcard-generator","tool","Flashcard Generator","index","routable"
"/tools/force-calculator","tool","Force Calculator","index","routable"
"/tools/formal-text-converter","tool","Formal Text Converter","index","routable"
"/tools/frequency-period-calculator","tool","Frequency & Period Calculator","index","routable"
"/tools/fuel-cost-calculator","tool","Fuel Cost Calculator","index","routable"
"/tools/gear-ratio-calculator","tool","Gear Ratio Calculator","index","routable"
"/tools/gpa-calculator","tool","GPA & CGPA Calculator for Pakistani Universities","index","routable"
"/tools/grade-calculator","tool","Grade Calculator","index","routable"
"/tools/grayscale-image","tool","Grayscale Image","index","routable"
"/tools/hardy-weinberg-calculator","tool","Hardy-Weinberg Calculator","index","routable"
"/tools/hash-generator","tool","SHA-256 Hash Generator","index","routable"
"/tools/healthy-weight-range-calculator","tool","Healthy Weight Range","index","routable"
"/tools/heart-rate-zone-calculator","tool","Heart Rate Zone Calculator","index","routable"
"/tools/hex-converter","tool","Hex Converter","index","routable"
"/tools/hex-to-rgb","tool","HEX to RGB","index","routable"
"/tools/html-escape","tool","HTML Escape","index","routable"
"/tools/html-formatter","tool","HTML Formatter","index","routable"
"/tools/html-to-docx","tool","HTML to DOCX","index","routable"
"/tools/html-unescape","tool","HTML Unescape","index","routable"
"/tools/ideal-gas-law-calculator","tool","Ideal Gas Law Calculator","index","routable"
"/tools/ideal-weight-calculator","tool","Ideal Weight Calculator","index","routable"
"/tools/image-blur","tool","Image Blur","index","routable"
"/tools/image-brightness","tool","Image Brightness","index","routable"
"/tools/image-compressor","tool","Image Compressor","index","routable"
"/tools/image-contrast","tool","Image Contrast","index","routable"
"/tools/image-cropper","tool","Image Cropper","index","routable"
"/tools/image-flipper","tool","Image Flipper","index","routable"
"/tools/image-metadata-remover","tool","Image Metadata Remover","index","routable"
"/tools/image-metadata-viewer","tool","Image Metadata Viewer","index","routable"
"/tools/image-resizer","tool","Image Resizer","index","routable"
"/tools/image-rotator","tool","Image Rotator","index","routable"
"/tools/image-sharpen","tool","Image Sharpen","index","routable"
"/tools/image-to-pdf","tool","Image to PDF","index","routable"
"/tools/internet-data-usage-calculator","tool","Internet Data Usage Calculator","index","routable"
"/tools/internship-application","tool","Internship Application","index","routable"
"/tools/investment-growth-calculator","tool","Investment Growth Calculator","index","routable"
"/tools/javascript-formatter","tool","JavaScript Formatter","index","routable"
"/tools/jpg-to-pdf","tool","JPG to PDF","index","routable"
"/tools/jpg-to-png","tool","JPG to PNG","index","routable"
"/tools/jpg-to-webp","tool","JPG to WebP","index","routable"
"/tools/json-formatter","tool","JSON Formatter","index","routable"
"/tools/json-minifier","tool","JSON Minifier","index","routable"
"/tools/json-validator","tool","JSON Validator","index","routable"
"/tools/json-viewer","tool","JSON Viewer","index","routable"
"/tools/kg-to-lbs","tool","KG to LBS","index","routable"
"/tools/kinetic-energy-calculator","tool","Kinetic Energy Calculator","index","routable"
"/tools/lean-body-mass-calculator","tool","Lean Body Mass Calculator","index","routable"
"/tools/leave-application","tool","Leave Application","index","routable"
"/tools/led-resistor-calculator","tool","LED Resistor Calculator","index","routable"
"/tools/lens-equation-calculator","tool","Thin Lens Calculator","index","routable"
"/tools/line-break-cleaner","tool","Line Break Cleaner","index","routable"
"/tools/line-counter","tool","Line Counter","index","routable"
"/tools/loan-affordability-calculator","tool","Loan Affordability Calculator","index","routable"
"/tools/loan-payment-calculator","tool","Loan Payment Calculator","index","routable"
"/tools/lorem-ipsum-generator","tool","Lorem Ipsum Generator","index","routable"
"/tools/maintenance-calories","tool","Maintenance Calories","index","routable"
"/tools/markdown-formatter","tool","Markdown Formatter","index","routable"
"/tools/markdown-to-html","tool","Markdown to HTML","index","routable"
"/tools/markdown-to-pdf","tool","Markdown to PDF","index","routable"
"/tools/marks-calculator","tool","Marks Calculator","index","routable"
"/tools/marks-required-calculator","tool","Marks Required Calculator","index","routable"
"/tools/merit-calculator","tool","Merit Calculator","index","routable"
"/tools/microscope-magnification-calculator","tool","Microscope Magnification Calculator","index","routable"
"/tools/molality-calculator","tool","Molality Calculator","index","routable"
"/tools/molarity-calculator","tool","Molarity Calculator","index","routable"
"/tools/momentum-calculator","tool","Momentum Calculator","index","routable"
"/tools/months-between-dates","tool","Months Between Dates","index","routable"
"/tools/normality-calculator","tool","Normality Calculator","index","routable"
"/tools/ohms-law-calculator","tool","Ohm’s Law Calculator","index","routable"
"/tools/online-excel","tool","MZ Online Excel","index","routable"
"/tools/online-powerpoint","tool","MZ Online PowerPoint","index","routable"
"/tools/online-word","tool","MZ Online Word","index","routable"
"/tools/pace-calculator","tool","Pace Calculator","index","routable"
"/tools/pakistan-university-gpa-calculator","tool","Pakistan University GPA Calculator","index","routable"
"/tools/parallel-resistance-calculator","tool","Parallel Resistance Calculator","index","routable"
"/tools/passport-photo-resizer","tool","Passport Photo Resizer","index","routable"
"/tools/password-generator","tool","Password Generator","index","routable"
"/tools/pdf-compare","tool","PDF Compare","index","routable"
"/tools/pdf-compressor","tool","Compress PDF","index","routable"
"/tools/pdf-delete-pages","tool","Delete PDF Pages","index","routable"
"/tools/pdf-editor","tool","MZ PDF Editor","index","routable"
"/tools/pdf-extract-pages","tool","Extract PDF Pages","index","routable"
"/tools/pdf-merger","tool","Merge PDF","index","routable"
"/tools/pdf-metadata-editor","tool","PDF Metadata Editor","index","routable"
"/tools/pdf-metadata-viewer","tool","PDF Metadata Viewer","index","routable"
"/tools/pdf-ocr","tool","PDF OCR","index","routable"
"/tools/pdf-page-counter","tool","PDF Page Counter","index","routable"
"/tools/pdf-page-size-converter","tool","PDF Page Size Converter","index","routable"
"/tools/pdf-reorder-pages","tool","Reorder PDF Pages","index","routable"
"/tools/pdf-repair","tool","PDF Repair & Validate","index","routable"
"/tools/pdf-rotator","tool","Rotate PDF","index","routable"
"/tools/pdf-splitter","tool","Split PDF","index","routable"
"/tools/pdf-to-excel","tool","PDF to Excel","index","routable"
"/tools/pdf-to-jpg","tool","PDF to JPG","index","routable"
"/tools/pdf-to-png","tool","PDF to PNG","index","routable"
"/tools/pdf-to-powerpoint","tool","PDF to PowerPoint","index","routable"
"/tools/pdf-to-text","tool","PDF to Text","index","routable"
"/tools/pdf-to-word","tool","PDF to Word","index","routable"
"/tools/pdf-viewer","tool","MZ PDF Viewer","index","routable"
"/tools/pdf-watermark","tool","Add Watermark","index","routable"
"/tools/percent-composition-calculator","tool","Percent Composition Calculator","index","routable"
"/tools/percentage-calculator","tool","Percentage Calculator","index","routable"
"/tools/percentage-calculator-plus","tool","Percentage Calculator Pro","index","routable"
"/tools/percentage-change-calculator","tool","Percentage Change Calculator","index","routable"
"/tools/permutation-combination-calculator","tool","Permutation & Combination Calculator","index","routable"
"/tools/ph-calculator","tool","pH Calculator","index","routable"
"/tools/physics-density-calculator","tool","Density Calculator","index","routable"
"/tools/physics-pressure-calculator","tool","Pressure Calculator","index","routable"
"/tools/png-to-jpg","tool","PNG to JPG","index","routable"
"/tools/png-to-webp","tool","PNG to WebP","index","routable"
"/tools/pomodoro-timer","tool","Pomodoro Timer","index","routable"
"/tools/population-growth-calculator","tool","Population Growth Calculator","index","routable"
"/tools/potential-energy-calculator","tool","Potential Energy Calculator","index","routable"
"/tools/powerpoint-viewer","tool","MZ PowerPoint Viewer","index","routable"
"/tools/pregnancy-due-date-calculator","tool","Pregnancy Due Date Calculator","index","routable"
"/tools/profit-margin-calculator","tool","Profit Margin Calculator","index","routable"
"/tools/programming-lab","tool","MZ Programming Lab","index","routable"
"/tools/project-report-cover-generator","tool","Project Report Cover Generator","index","routable"
"/tools/protein-intake-calculator","tool","Protein Intake Calculator","index","routable"
"/tools/pulse-counter","tool","Pulse Counter","index","routable"
"/tools/punnett-square-calculator","tool","Punnett Square Calculator","index","routable"
"/tools/pwm-duty-cycle-calculator","tool","PWM Duty Cycle Calculator","index","routable"
"/tools/pythagorean-calculator","tool","Pythagorean Theorem Calculator","index","routable"
"/tools/quadratic-equation-calculator","tool","Quadratic Equation Calculator","index","routable"
"/tools/quiz-generator","tool","Quiz Generator","index","routable"
"/tools/random-study-topic-generator","tool","Random Study Topic Generator","index","routable"
"/tools/ratio-calculator","tool","Ratio Calculator","index","routable"
"/tools/rc-time-constant-calculator","tool","RC Time Constant Calculator","index","routable"
"/tools/reading-time-calculator","tool","Reading Time Calculator","index","routable"
"/tools/regex-tester","tool","Regex Tester","index","routable"
"/tools/remove-duplicate-lines","tool","Remove Duplicate Lines","index","routable"
"/tools/remove-extra-spaces","tool","Remove Extra Spaces","index","routable"
"/tools/resume-builder","tool","Resume Builder","index","routable"
"/tools/rgb-to-hex","tool","RGB to HEX","index","routable"
"/tools/rna-to-protein-tool","tool","RNA to Protein Helper","index","routable"
"/tools/roi-calculator","tool","ROI Calculator","index","routable"
"/tools/running-pace-calculator","tool","Running Pace Calculator","index","routable"
"/tools/salary-breakdown-calculator","tool","Salary Breakdown Calculator","index","routable"
"/tools/savings-goal-calculator","tool","Savings Goal Calculator","index","routable"
"/tools/scanned-pdf-to-searchable-pdf","tool","Scanned PDF to Searchable PDF","index","routable"
"/tools/scholarship-application","tool","Scholarship Application","index","routable"
"/tools/scholarship-percentage-calculator","tool","Scholarship Percentage Calculator","index","routable"
"/tools/semester-calculator","tool","Semester Calculator","index","routable"
"/tools/sentence-case","tool","Sentence Case","index","routable"
"/tools/sentence-counter","tool","Sentence Counter","index","routable"
"/tools/series-resistance-calculator","tool","Series Resistance Calculator","index","routable"
"/tools/simple-interest-calculator","tool","Simple Interest Calculator","index","routable"
"/tools/slope-gradient-calculator","tool","Slope & Gradient Calculator","index","routable"
"/tools/smart-document-scanner","tool","Smart Document Scanner","index","routable"
"/tools/smart-study-schedule-generator","tool","Smart Study Schedule Generator","index","routable"
"/tools/smart-text-summarizer","tool","Smart Text Summarizer","index","routable"
"/tools/speaking-time-calculator","tool","Speaking Time Calculator","index","routable"
"/tools/specific-heat-calculator","tool","Specific Heat Calculator","index","routable"
"/tools/speed-distance-time","tool","Speed Distance Time Calculator","index","routable"
"/tools/stopwatch","tool","Stopwatch","index","routable"
"/tools/strain-calculator","tool","Strain Calculator","index","routable"
"/tools/stress-calculator","tool","Stress Calculator","index","routable"
"/tools/student-cv-builder","tool","Student CV Builder","index","routable"
"/tools/study-hours-calculator","tool","Study Hours Calculator","index","routable"
"/tools/study-hours-calculator-plus","tool","Study Hours Calculator Pro","index","routable"
"/tools/study-notes-generator","tool","Study Notes Generator","index","routable"
"/tools/study-timer","tool","Study Timer","index","routable"
"/tools/study-timetable-generator","tool","Study Timetable Generator","index","routable"
"/tools/target-heart-rate-calculator","tool","Target Heart Rate Calculator","index","routable"
"/tools/tax-calculator","tool","Tax Calculator","index","routable"
"/tools/tdee-calculator","tool","TDEE Calculator","index","routable"
"/tools/text-cleaner","tool","Text Cleaner","index","routable"
"/tools/text-reverser","tool","Text Reverser","index","routable"
"/tools/text-sorter","tool","Text Sorter","index","routable"
"/tools/text-to-pdf","tool","Text to PDF","index","routable"
"/tools/text-to-slug","tool","Text to Slug","index","routable"
"/tools/time-calculator","tool","Time Calculator","index","routable"
"/tools/tip-calculator","tool","Tip Calculator","index","routable"
"/tools/title-case","tool","Title Case","index","routable"
"/tools/todo-list","tool","To-Do List","index","routable"
"/tools/txt-to-docx","tool","TXT to DOCX","index","routable"
"/tools/ucp-gpa-calculator","tool","UCP GPA Calculator","index","routable"
"/tools/university-aggregate-calculator","tool","University Aggregate Calculator","index","routable"
"/tools/unix-timestamp-converter","tool","Unix Timestamp Converter","index","routable"
"/tools/unix-timestamp-converter-plus","tool","Unix Timestamp Converter Pro","index","routable"
"/tools/uol-gpa-calculator","tool","UOL GPA Calculator","index","routable"
"/tools/url-decoder","tool","URL Decoder","index","routable"
"/tools/url-encoder","tool","URL Encoder","index","routable"
"/tools/uuid-generator","tool","UUID Generator","index","routable"
"/tools/vector-magnitude-calculator","tool","Vector Magnitude Calculator","index","routable"
"/tools/velocity-calculator","tool","Velocity Calculator","index","routable"
"/tools/voltage-divider-calculator","tool","Voltage Divider Calculator","index","routable"
"/tools/water-intake-estimator","tool","Water Intake Estimator","index","routable"
"/tools/wavelength-calculator","tool","Wavelength Calculator","index","routable"
"/tools/webp-to-jpg","tool","WebP to JPG","index","routable"
"/tools/weeks-between-dates","tool","Weeks Between Dates","index","routable"
"/tools/weight-gain-calorie-calculator","tool","Weight Gain Calories","index","routable"
"/tools/weight-loss-calorie-calculator","tool","Weight Loss Calories","index","routable"
"/tools/wheel-speed-calculator","tool","Wheel Speed Calculator","index","routable"
"/tools/whitespace-cleaner","tool","Whitespace Cleaner","index","routable"
"/tools/word-counter","tool","Word Counter","index","routable"
"/tools/word-to-pdf","tool","Word to PDF","index","routable"
"/tools/work-calculator","tool","Work Calculator","index","routable"
"/tools/working-days-calculator","tool","Working Days Calculator","index","routable"
"/tools/world-clock","tool","World Clock","index","routable"
"/tools/years-between-dates","tool","Years Between Dates","index","routable"
"/university-tools","category","University Tools","index","routable"
"/utilities","category","Utilities","index","routable"
"/world-tools","category","World Tools","index","routable"
