"toolName","id","category","route","currentStatus","inputType","outputType","processing","implementation","knownProblems","requiredFix","functionTest","uiTest","outputTest","downloadTest","mobileTest","errorHandlingTest","lastTestTime"
"GPA & CGPA Calculator for Pakistani Universities","gpa-calculator","calculators","/tools/gpa-calculator","PARTIALLY WORKING","Numeric/form input","Calculated result","browser","./calculators/GpaCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"CGPA Calculator for Pakistani Universities","cgpa-calculator","calculators","/tools/cgpa-calculator","PARTIALLY WORKING","Numeric/form input","Calculated result","browser","./calculators/CgpaCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Percentage Calculator","percentage-calculator","utility-tools","/tools/percentage-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./calculators/PercentageCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Marks Calculator","marks-calculator","calculators","/tools/marks-calculator","PARTIALLY WORKING","Numeric/form input","Calculated result","browser","./calculators/MarksCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Grade Calculator","grade-calculator","calculators","/tools/grade-calculator","PARTIALLY WORKING","Numeric/form input","Calculated result","browser","./calculators/GradeCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Attendance Calculator","attendance-calculator","calculators","/tools/attendance-calculator","PARTIALLY WORKING","Numeric/form input","Calculated result","browser","./calculators/AttendanceCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Age Calculator","age-calculator","utility-tools","/tools/age-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./calculators/AgeCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Discount Calculator","discount-calculator","utility-tools","/tools/discount-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./calculators/DiscountCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Average Calculator","average-calculator","utility-tools","/tools/average-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./calculators/AverageCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Ratio Calculator","ratio-calculator","utility-tools","/tools/ratio-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./calculators/RatioCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Time Calculator","time-calculator","utility-tools","/tools/time-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./calculators/TimeCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Study Hours Calculator","study-hours-calculator","calculators","/tools/study-hours-calculator","PARTIALLY WORKING","Numeric/form input","Calculated result","browser","./calculators/StudyHoursCalculator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: UI, mobile.","PASS","NOT TESTED","PASS","N/A","NOT TESTED","PASS","2026-09-20 01:19 PKT"
"Merge PDF","pdf-merger","pdf-tools","/tools/pdf-merger","PARTIALLY WORKING","PDF files","PDF","browser","./pdf/MergePdf","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Split PDF","pdf-splitter","pdf-tools","/tools/pdf-splitter","PARTIALLY WORKING","PDF","PDF","browser","./pdf/SplitPdf","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Compress PDF","pdf-compressor","pdf-tools","/tools/pdf-compressor","PARTIALLY WORKING","PDF","PDF","browser","./pdf/CompressPdf","A concrete runtime/behavior defect was repaired during the 2026-09-20 audit; browser E2E remains pending. Medium/high mode may flatten selectable text/forms/links; output is now retained only when it is genuinely smaller.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"PDF to JPG","pdf-to-jpg","pdf-tools","/tools/pdf-to-jpg","PARTIALLY WORKING","PDF","JPG images","browser","./pdf/PdfToJpg","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"JPG to PDF","jpg-to-pdf","pdf-tools","/tools/jpg-to-pdf","PARTIALLY WORKING","Image(s)","PDF","browser","./pdf/JpgToPdf","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"PDF to PNG","pdf-to-png","pdf-tools","/tools/pdf-to-png","PARTIALLY WORKING","PDF","PNG images","browser","./pdf/PdfToPng","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Rotate PDF","pdf-rotator","pdf-tools","/tools/pdf-rotator","PARTIALLY WORKING","PDF","PDF","browser","./pdf/RotatePdf","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Delete PDF Pages","pdf-delete-pages","pdf-tools","/tools/pdf-delete-pages","PARTIALLY WORKING","PDF","PDF","browser","./pdf/DeletePdfPages","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Extract PDF Pages","pdf-extract-pages","pdf-tools","/tools/pdf-extract-pages","PARTIALLY WORKING","PDF","PDF","browser","./pdf/ExtractPdfPages","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Reorder PDF Pages","pdf-reorder-pages","pdf-tools","/tools/pdf-reorder-pages","PARTIALLY WORKING","PDF","PDF","browser","./pdf/ReorderPdfPages","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"PDF Page Counter","pdf-page-counter","pdf-tools","/tools/pdf-page-counter","PARTIALLY WORKING","PDF","Metadata / text result","browser","./pdf/PdfPageCounter","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Add Watermark","pdf-watermark","pdf-tools","/tools/pdf-watermark","PARTIALLY WORKING","PDF","PDF","browser","./pdf/PdfWatermark","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"PDF Metadata Viewer","pdf-metadata-viewer","pdf-tools","/tools/pdf-metadata-viewer","PARTIALLY WORKING","PDF","Metadata / text result","browser","./pdf/PdfMetadataViewer","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Image Compressor","image-compressor","image-tools","/tools/image-compressor","PARTIALLY WORKING","Image","Image / file","browser","./image/ImageCompressor","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Image Resizer","image-resizer","image-tools","/tools/image-resizer","PARTIALLY WORKING","Image","Image / file","browser","./image/ImageResizer","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"JPG to PNG","jpg-to-png","image-tools","/tools/jpg-to-png","PARTIALLY WORKING","Image","Image / file","browser","./image/JpgToPng","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"PNG to JPG","png-to-jpg","image-tools","/tools/png-to-jpg","PARTIALLY WORKING","Image","Image / file","browser","./image/PngToJpg","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"JPG to WebP","jpg-to-webp","image-tools","/tools/jpg-to-webp","PARTIALLY WORKING","Image","Image / file","browser","./image/JpgToWebp","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"PNG to WebP","png-to-webp","image-tools","/tools/png-to-webp","PARTIALLY WORKING","Image","Image / file","browser","./image/PngToWebp","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"WebP to JPG","webp-to-jpg","image-tools","/tools/webp-to-jpg","PARTIALLY WORKING","Image","Image / file","browser","./image/WebpToJpg","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Image Cropper","image-cropper","image-tools","/tools/image-cropper","PARTIALLY WORKING","Image","Image / file","browser","./image/ImageCropper","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Image Rotator","image-rotator","image-tools","/tools/image-rotator","PARTIALLY WORKING","Image","Image / file","browser","./image/ImageRotator","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Image to PDF","image-to-pdf","image-tools","/tools/image-to-pdf","PARTIALLY WORKING","Image(s)","PDF","browser","./image/ImageToPdf","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Passport Photo Resizer","passport-photo-resizer","image-tools","/tools/passport-photo-resizer","PARTIALLY WORKING","Image","Image / file","browser","./image/PassportPhotoResizer","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT RUN","NOT TESTED","NOT RUN","NOT RUN","NOT TESTED","NOT RUN","Suite present — not run in this audit"
"Word Counter","word-counter","text-tools","/tools/word-counter","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Character Counter","character-counter","text-tools","/tools/character-counter","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Sentence Counter","sentence-counter","text-tools","/tools/sentence-counter","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Case Converter","case-converter","text-tools","/tools/case-converter","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Remove Extra Spaces","remove-extra-spaces","text-tools","/tools/remove-extra-spaces","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Remove Duplicate Lines","remove-duplicate-lines","text-tools","/tools/remove-duplicate-lines","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Text Cleaner","text-cleaner","text-tools","/tools/text-cleaner","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Text Sorter","text-sorter","text-tools","/tools/text-sorter","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Text Reverser","text-reverser","text-tools","/tools/text-reverser","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Text to Slug","text-to-slug","text-tools","/tools/text-to-slug","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Reading Time Calculator","reading-time-calculator","text-tools","/tools/reading-time-calculator","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Line Counter","line-counter","text-tools","/tools/line-counter","PARTIALLY WORKING","Text","Text / statistics","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"JSON Viewer","json-viewer","developer-tools","/tools/json-viewer","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"JSON Formatter","json-formatter","developer-tools","/tools/json-formatter","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"JSON Validator","json-validator","developer-tools","/tools/json-validator","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"JSON Minifier","json-minifier","developer-tools","/tools/json-minifier","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Base64 Encoder","base64-encoder","developer-tools","/tools/base64-encoder","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Base64 Decoder","base64-decoder","developer-tools","/tools/base64-decoder","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"URL Encoder","url-encoder","developer-tools","/tools/url-encoder","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"URL Decoder","url-decoder","developer-tools","/tools/url-decoder","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"HTML Formatter","html-formatter","developer-tools","/tools/html-formatter","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"CSS Formatter","css-formatter","developer-tools","/tools/css-formatter","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"JavaScript Formatter","javascript-formatter","developer-tools","/tools/javascript-formatter","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Regex Tester","regex-tester","developer-tools","/tools/regex-tester","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
